12411-03-03: Bevölkerung nach Geschlecht, Nationalität und Altersgruppen bis 90+ (Stand  31.12.)
Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1)
;;;;insgesamt;männlich;weiblich;Deutsche;Deutsche;Deutsche;Ausländer 2);Ausländer 2);Ausländer 2)
;;;;;;;zusammen;männlich;weiblich;zusammen;männlich;weiblich
04011252;Rablinghausen (Ortsteil);2021-12-31;unter 3;81;40;41;75;36;39;6;4;2
04011252;Rablinghausen (Ortsteil);2021-12-31;3 - 6;84;48;36;75;44;31;9;4;5
04011252;Rablinghausen (Ortsteil);2021-12-31;6 - 10;104;51;53;93;42;51;11;9;2
04011252;Rablinghausen (Ortsteil);2021-12-31;10 - 15;122;60;62;100;48;52;22;12;10
04011252;Rablinghausen (Ortsteil);2021-12-31;15 - 18;69;29;40;62;25;37;7;4;3
04011252;Rablinghausen (Ortsteil);2021-12-31;18 - 20;48;28;20;45;25;20;3;3;0
04011252;Rablinghausen (Ortsteil);2021-12-31;20 - 25;147;75;72;122;59;63;25;16;9
04011252;Rablinghausen (Ortsteil);2021-12-31;25 - 30;155;80;75;122;58;64;33;22;11
04011252;Rablinghausen (Ortsteil);2021-12-31;30 - 35;198;98;100;162;78;84;36;20;16
04011252;Rablinghausen (Ortsteil);2021-12-31;35 - 40;183;98;85;147;80;67;36;18;18
04011252;Rablinghausen (Ortsteil);2021-12-31;40 - 45;170;94;76;146;79;67;24;15;9
04011252;Rablinghausen (Ortsteil);2021-12-31;45 - 50;170;88;82;128;63;65;42;25;17
04011252;Rablinghausen (Ortsteil);2021-12-31;50 - 55;252;129;123;228;112;116;24;17;7
04011252;Rablinghausen (Ortsteil);2021-12-31;55 - 60;297;147;150;275;135;140;22;12;10
04011252;Rablinghausen (Ortsteil);2021-12-31;60 - 65;209;107;102;201;102;99;8;5;3
04011252;Rablinghausen (Ortsteil);2021-12-31;65 - 70;161;87;74;155;85;70;6;2;4
04011252;Rablinghausen (Ortsteil);2021-12-31;70 - 75;188;81;107;183;79;104;5;2;3
04011252;Rablinghausen (Ortsteil);2021-12-31;75 - 80;151;63;88;146;58;88;5;5;0
04011252;Rablinghausen (Ortsteil);2021-12-31;80 - 85;155;68;87;151;65;86;4;3;1
04011252;Rablinghausen (Ortsteil);2021-12-31;85 - 90;99;24;75;97;24;73;2;0;2
04011252;Rablinghausen (Ortsteil);2021-12-31;90 und mehr;37;7;30;36;7;29;1;0;1
04011252;Rablinghausen (Ortsteil);2021-12-31;Insgesamt;3080;1502;1578;2749;1304;1445;331;198;133
04011261;Seehausen (Ortsteil);2021-12-31;unter 3;35;16;19;35;16;19;0;0;0
04011261;Seehausen (Ortsteil);2021-12-31;3 - 6;35;10;25;33;9;24;2;1;1
04011261;Seehausen (Ortsteil);2021-12-31;6 - 10;43;22;21;41;21;20;2;1;1
04011261;Seehausen (Ortsteil);2021-12-31;10 - 15;49;27;22;48;26;22;1;1;0
04011261;Seehausen (Ortsteil);2021-12-31;15 - 18;19;12;7;18;12;6;1;0;1
04011261;Seehausen (Ortsteil);2021-12-31;18 - 20;12;5;7;12;5;7;0;0;0
04011261;Seehausen (Ortsteil);2021-12-31;20 - 25;49;28;21;44;27;17;5;1;4
04011261;Seehausen (Ortsteil);2021-12-31;25 - 30;60;27;33;53;25;28;7;2;5
04011261;Seehausen (Ortsteil);2021-12-31;30 - 35;61;30;31;57;30;27;4;0;4
04011261;Seehausen (Ortsteil);2021-12-31;35 - 40;56;26;30;50;23;27;6;3;3
04011261;Seehausen (Ortsteil);2021-12-31;40 - 45;54;25;29;51;25;26;3;0;3
04011261;Seehausen (Ortsteil);2021-12-31;45 - 50;56;28;28;51;26;25;5;2;3
04011261;Seehausen (Ortsteil);2021-12-31;50 - 55;105;53;52;100;51;49;5;2;3
04011261;Seehausen (Ortsteil);2021-12-31;55 - 60;112;59;53;105;55;50;7;4;3
04011261;Seehausen (Ortsteil);2021-12-31;60 - 65;100;47;53;97;45;52;3;2;1
04011261;Seehausen (Ortsteil);2021-12-31;65 - 70;56;28;28;52;26;26;4;2;2
04011261;Seehausen (Ortsteil);2021-12-31;70 - 75;39;19;20;39;19;20;0;0;0
04011261;Seehausen (Ortsteil);2021-12-31;75 - 80;28;14;14;27;14;13;1;0;1
